Men Slim Fit Over Dyed Soft Handfeel Full Sleeve Casual Shirt	Louis Philippe	1349	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/JANUARY/8/ydEXlJbx_4f2b31af3a4540c9b0a107ca40e78b15.jpg	https://www.myntra.com/shirts/louis+philippe+jeans/men-slim-fit-over-dyed-soft-handfeel-full-sleeve-casual-shirt/12848654/buy		White
Men Slim Fit Over Dyed Soft Handfeel Full Sleeve Casual Shirt	Louis Philippe	1439	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/JUNE/12/xy95fzLt_58fef049cbf84a589018198d7c078e79.jpg	https://www.myntra.com/shirts/louis+philippe+jeans/men-slim-fit-over-dyed-soft-handfeel-full-sleeve-casual-shirt/14195386/buy		Black
Men Slim Fit Over Dyed Soft Handfeel Full Sleeve Casual Shirt	Louis Philippe	1439	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/5/7/524bf179-ba3d-4171-9fa1-976482d79c571620404212200-1.jpg	https://www.myntra.com/shirts/louis+philippe+jeans/men-slim-fit-over-dyed-soft-handfeel-full-sleeve-casual-shirt/14271394/buy		maroon
Men Comfort Opaque Checked Casual Shirt	Campus Sutra	1179	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/31472271/2025/2/21/7cbe9410-a9b3-460c-adeb-f17b4546eedc1740148775321-Campus-Sutra-Men-Comfort-Opaque-Checked-Casual-Shirt-8181740-1.jpg	https://www.myntra.com/shirts/campus+sutra/campus-sutra-men-comfort-opaque-checked-casual-shirt/31472271/buy		green+BEGIGE
Men Comfort Opaque Checked Casual Shirt	Campus Sutra	1179	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/NOVEMBER/2/kEdzy2n3_471a445878c1445ca1aa0eedb427a870.jpg	https://www.myntra.com/shirts/campus+sutra/campus-sutra-men-comfort-opaque-checked-casual-shirt/31472246/buy		RED+GREY
Men Comfort Opaque Checked Casual Shirt	Campus Sutra	1179	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/OCTOBER/1/K3X8lrig_655d4254a717472abaf2bbbf54237a34.jpg	https://www.myntra.com/shirts/campus+sutra/campus-sutra-men-comfort-oversized-fit-buffalo-checked-spread-collar-cotton-casual-shirt/37287179/buy		RED+Black
Slim Fit Easy-Iron Shirt	H&M	1499	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/APRIL/30/X7oUX7hE_b13a5c8f15334ab48bc59f2f8666776e.jpg	https://www.myntra.com/shirts/h%26m/-hm-slim-fit-easy-iron-shirt/30498936/buy		black
Slim Fit Easy-Iron Shirt	H&M	1499	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/APRIL/30/rIP4nw2j_53ab0ede62e04b929fa2de330a165e12.jpg	https://www.myntra.com/shirts/h%26m/hm-slim-fit-easy-iron-shirt/30144470/buy		White
The Lifestyle Co. Men Light Fade Stretchable Slim Fit Jeans	Roadster	671	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26084690/2024/8/24/c7b91ca5-fb2b-41a9-93dc-661c2c8c093b1724478024190-Roadster-Men-Jeans-7441724478023708-1.jpg	https://www.myntra.com/jeans/roadster/the-roadster-lifestyle-co-men--light-fade-stretchable-slim-fit-jeans/26084690/buy		blue
Men Slash Slim Tapered Fit Heavy Fade Stretchable Jeans	Flying Machine	1363	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/AUGUST/12/YlzGJpeZ_e9dd919388734c09bf7ab13eefaacb24.jpg	https://www.myntra.com/jeans/flying+machine/flying-machine-men-slash-slim-tapered-fit-heavy-fade-stretchable-jeans/36008709/buy		blue
Men Slim Fit Mid-Rise Light Fade Jeans	Flying Machine	1172	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/JANUARY/13/cZ7LX3k4_21baf1f09fd9402388ef4a4c8c283a1c.jpg	https://www.myntra.com/jeans/flying+machine/flying-machine-men-slim-fit-mid-rise-light-fade-jeans/34856544/buy		blue
The Life Co. Men Slim Fit Light Fade Stretchable Jeans	Roadster	659	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22578378/2023/4/28/4c387e44-7980-49ae-b4e9-798fea859d301682664416675-Roadster-Men-Jeans-7031682664416175-2.jpg	https://www.myntra.com/jeans/roadster/the-roadster-life-co-men-slim-fit-light-fade-stretchable-jeans/22578378/buy		black
Men Comfort Straight Fit Mid-Rise Light Fade Stretchable Jeans	BREXX	599	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/MAY/8/mVZRgzoc_3fe763eacd4b42588495233b3d8970f9.jpg	https://www.myntra.com/jeans/brexx/brexx-men-comfort-straight-fit-mid-rise-light-fade-stretchable-jeans/41949335/buy		gray
